Datetime,Storm_Status,Latitude,Longitude,Max_Wind,Min_Pressure,Radius_Max_Wind
20210815, LO, 34.8N,  62.8W,25.0,1012.0,20.0
20210815, TD, 34.1N,  62.7W,25.0,1011.0,20.0
20210816, TD, 33.4N,  62.7W,30.0,1010.0,25.0
20210816, TD, 32.5N,  62.7W,30.0,1010.0,25.0
20210816, TD, 31.6N,  62.7W,30.0,1010.0,25.0
20210816, TS, 31.1N,  62.9W,35.0,1009.0,25.0
20210817, TS, 30.8N,  63.1W,40.0,1008.0,25.0
20210817, TS, 30.6N,  63.3W,45.0,1004.0,25.0
20210817, TS, 30.4N,  63.6W,45.0,1004.0,25.0
20210817, TS, 30.3N,  63.9W,55.0,1000.0,25.0
20210818, TS, 30.2N,  64.5W,55.0,998.0,20.0
20210818, TS, 30.1N,  65.3W,55.0,998.0,20.0
20210818, TS, 30.0N,  66.2W,55.0,998.0,20.0
20210818, TS, 29.9N,  67.1W,60.0,995.0,20.0
20210819, TS, 29.7N,  68.0W,60.0,995.0,25.0
20210819, TS, 29.5N,  69.0W,60.0,995.0,25.0
20210819, TS, 29.5N,  70.0W,60.0,995.0,25.0
20210819, TS, 29.6N,  71.0W,55.0,999.0,25.0
